details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159495,9/21/20 20:05,Port Saint Lucie,FL,USA,Light,Yellow round light traveling vertically and then disappeared,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159493,9/21/20 16:30,Cherry Hill,NJ,USA,Light,5 sphere light Traveling toward Philly 3 in. A triangle and 1 leading with 1 trailing,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159497,9/21/20 13:00,Linden,VA,USA,Other,"witnessed countless orbs and an actual flying saucer, simply amazing.",9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159787,9/21/20 10:33,Farmington Hills,MI,USA,,MADAR Node 144,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159512,9/21/20 5:36,Long Island,NY,USA,Fireball,White Flash with a Blueish Green line going downwards. ((NUFORC Note: Possibly a meteor/fireball. PD)),9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159504,9/21/20 1:00,Depoe Bay,OR,USA,Light,"from the north, at high speed, appeared an array of some 15 to 25 lights flying in a marked “V” formation. ((Starlink satellites))",9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=163692,9/21/20 1:00,Depoe Bay,OR,USA,Light,"My wife and I were stargazing from a cliff above the Pacific on a very clear and moonless night tonight, when from the north, at high s",6/13/21,7/31/21,,,,,,,
https://nuforc.org/sighting/?id=159494,9/21/20 0:00,Newberlin,WI,USA,Circle,Going north on nation ave 130th looked to my left above trees line going parallel with nation ave about 200 feet off ground high rate o,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159625,9/20/20 23:45,Dartmouth,MA,USA,Circle,The amazing sky night phenomenal,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159510,9/20/20 23:40,Valley grove,WV,USA,Other,UFO mother ship stalking me and one of its smaller ships coming close,9/20/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159503,9/20/20 23:00,San Diego,CA,USA,Fireball,White bright light coming from ball and then floated away,9/21/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159444,9/20/20 22:29,Columbus,OH,USA,Oval,UFO oval seen Ohio blinking lights,9/20/20,11/5/20,,,,,,,
